# lat,long,cluster
7.919638473501765252e-02,-1.440434413096747246e+00,1.000000000000000000e+00
4.471617287141989305e-02,-1.441899781004430725e+00,1.000000000000000000e+00
4.471617287141989305e-02,-1.441899781004430725e+00,1.000000000000000000e+00
4.471617287141989305e-02,-1.441899781004430725e+00,1.000000000000000000e+00
-4.703151576940183161e-03,-1.036669194225753099e+00,0.000000000000000000e+00
-4.703151576940183161e-03,-1.036669194225753099e+00,0.000000000000000000e+00
-4.703151576940183161e-03,-1.036669194225753099e+00,0.000000000000000000e+00
-4.703151576940183161e-03,-1.036669194225753099e+00,0.000000000000000000e+00
-4.703151576940183161e-03,-1.036669194225753099e+00,0.000000000000000000e+00
-4.703151576940183161e-03,-1.036669194225753099e+00,0.000000000000000000e+00
-4.703151576940183161e-03,-1.036669194225753099e+00,0.000000000000000000e+00
-4.703151576940183161e-03,-1.036669194225753099e+00,0.000000000000000000e+00
-4.703151576940183161e-03,-1.036669194225753099e+00,0.000000000000000000e+00
-4.703151576940183161e-03,-1.036669194225753099e+00,0.000000000000000000e+00
-4.703151576940183161e-03,-1.036669194225753099e+00,0.000000000000000000e+00
-4.703151576940183161e-03,-1.036669194225753099e+00,0.000000000000000000e+00
-4.703151576940183161e-03,-1.036669194225753099e+00,0.000000000000000000e+00
-4.703151576940183161e-03,-1.036669194225753099e+00,0.000000000000000000e+00
-4.703151576940183161e-03,-1.036669194225753099e+00,0.000000000000000000e+00
-4.703151576940183161e-03,-1.036669194225753099e+00,0.000000000000000000e+00
-4.703151576940183161e-03,-1.036669194225753099e+00,0.000000000000000000e+00
-4.775321438475067737e+00,-3.922711288408751606e+00,0.000000000000000000e+00
-1.018767600617383751e-01,-1.432374889604487000e+00,0.000000000000000000e+00
-1.604090095036509123e+00,-1.444266913778381456e+00,0.000000000000000000e+00
8.213333101716062401e-02,-1.444266913778381456e+00,1.000000000000000000e+00
-1.604090095036509123e+00,-1.444266913778381456e+00,0.000000000000000000e+00
-1.604090095036509123e+00,-1.444266913778381456e+00,0.000000000000000000e+00
8.160144310779636478e-02,-1.444999597732222751e+00,1.000000000000000000e+00
-1.604090095036509123e+00,-1.444266913778381456e+00,0.000000000000000000e+00
7.080180599156554733e-02,-1.453002760920341752e+00,1.000000000000000000e+00
-1.963415066154260646e+00,-1.347778073087825268e+00,0.000000000000000000e+00
-1.604090095036509123e+00,-1.444266913778381456e+00,0.000000000000000000e+00
-1.604090095036509123e+00,-1.444266913778381456e+00,0.000000000000000000e+00
-1.604090095036509123e+00,-1.444266913778381456e+00,0.000000000000000000e+00
-1.604090095036509123e+00,-1.444266913778381456e+00,0.000000000000000000e+00
-1.744216457868236481e-01,-1.051717395431581270e+00,0.000000000000000000e+00
-1.744216457868236481e-01,-1.051717395431581270e+00,0.000000000000000000e+00
-1.744216457868236481e-01,-1.051717395431581270e+00,0.000000000000000000e+00
-1.744216457868236481e-01,-1.051717395431581270e+00,0.000000000000000000e+00
1.102849354649243496e+00,-1.555183992329207454e+00,1.000000000000000000e+00
-1.744216457868236481e-01,-1.051717395431581270e+00,0.000000000000000000e+00
-1.744216457868236481e-01,-1.051717395431581270e+00,0.000000000000000000e+00
-1.744216457868236481e-01,-1.051717395431581270e+00,0.000000000000000000e+00
-7.444436056968150028e-01,-1.539064945344686963e+00,0.000000000000000000e+00
4.471617287141989305e-02,-1.441899781004430725e+00,1.000000000000000000e+00
4.471617287141989305e-02,-1.441899781004430725e+00,1.000000000000000000e+00
4.471617287141989305e-02,-1.441899781004430725e+00,1.000000000000000000e+00
-1.604529480700766619e+00,-1.455651695215000707e+00,0.000000000000000000e+00
-1.776909369828968271e-02,-1.431754926258927973e+00,1.000000000000000000e+00
-1.604090095036509123e+00,-1.444266913778381456e+00,0.000000000000000000e+00
8.162456866907386033e-02,-1.444999597732222751e+00,1.000000000000000000e+00
-1.604090095036509123e+00,-1.444266913778381456e+00,0.000000000000000000e+00
-4.115742766796374186e-01,-1.971010316286521125e+00,1.000000000000000000e+00
-4.115742766796374186e-01,-1.971010316286521125e+00,1.000000000000000000e+00
-4.115742766796374186e-01,-1.971010316286521125e+00,1.000000000000000000e+00
-1.604090095036509123e+00,-1.444266913778381456e+00,0.000000000000000000e+00
1.858800827224103225e+00,-2.031090400501551319e+00,1.000000000000000000e+00
2.007212092442070828e-01,-1.447535811418598328e+00,1.000000000000000000e+00
-5.370621592232018016e-02,-1.425837094324052146e+00,0.000000000000000000e+00
-1.604090095036509123e+00,-1.444266913778381456e+00,0.000000000000000000e+00
1.102849354649243496e+00,-1.555183992329207454e+00,1.000000000000000000e+00
6.865112879283104264e-02,-1.448493936589007491e+00,1.000000000000000000e+00
-4.115742766796374186e-01,-1.971010316286521125e+00,1.000000000000000000e+00
-4.115742766796374186e-01,-1.971010316286521125e+00,1.000000000000000000e+00
-7.444436056968150028e-01,-1.539064945344686963e+00,0.000000000000000000e+00
-1.604090095036509123e+00,-1.444266913778381456e+00,0.000000000000000000e+00
8.162456866907386033e-02,-1.444999597732222751e+00,1.000000000000000000e+00
1.176773186994868881e-01,-1.774989178481758190e+00,1.000000000000000000e+00
