# year,price,cluster
2.742171752755157565e-01,-8.353376690906052018e-03,0.000000000000000000e+00
7.798396752484932914e-01,-1.745775280067246715e-18,0.000000000000000000e+00
6.534340502552489216e-01,-4.926588923297726443e-03,0.000000000000000000e+00
7.798396752484932914e-01,-1.745775280067246715e-18,0.000000000000000000e+00
1.032650925234982031e+00,-4.502379374695883625e-03,0.000000000000000000e+00
-1.049996997042173669e-01,-8.821254869511024541e-03,1.000000000000000000e+00
9.062453002417376613e-01,-6.361775243977547435e-03,0.000000000000000000e+00
-3.578109496907061482e-01,-8.761150518874848137e-03,1.000000000000000000e+00
4.006228002687601264e-01,-9.001088046364577946e-03,0.000000000000000000e+00
2.742171752755157565e-01,-6.361775243977547435e-03,0.000000000000000000e+00
-2.001084074602883067e+00,-9.792881887080686493e-03,1.000000000000000000e+00
4.006228002687601264e-01,-8.521212991385118327e-03,0.000000000000000000e+00
-3.578109496907061482e-01,-8.761150518874848137e-03,1.000000000000000000e+00
6.534340502552489216e-01,-7.141692177082915004e-03,0.000000000000000000e+00
-7.370278246704392577e-01,-8.701286105766160503e-03,1.000000000000000000e+00
5.270284252620045518e-01,-7.501598468317509719e-03,0.000000000000000000e+00
6.534340502552489216e-01,-6.241806480232681663e-03,0.000000000000000000e+00
-9.898390746569279974e-01,-9.421098688235349933e-03,1.000000000000000000e+00
-8.634334496636836276e-01,-9.781004979469945515e-03,1.000000000000000000e+00
1.159056550228226401e+00,-2.882681095376461288e-03,0.000000000000000000e+00
2.140592528902700645e-02,-8.881119282619712174e-03,0.000000000000000000e+00
-2.314053246974617506e-01,-6.674293873532920890e-03,1.000000000000000000e+00
-1.116244699650172478e+00,-9.360994337599173529e-03,1.000000000000000000e+00
0.000000000000000000e+00,-3.543109139791943227e-03,0.000000000000000000e+00
-2.314053246974617506e-01,-9.948841279949011823e-03,1.000000000000000000e+00
5.270284252620045518e-01,-6.542328233413568887e-03,0.000000000000000000e+00
0.000000000000000000e+00,-5.702546887199513685e-03,0.000000000000000000e+00
