# model,cylinder,fuel,transmission,type,Y_test,Y_pred
9.571259617197731551e-01,3.107861666000752976e-01,1.461034881564278742e-01,-2.589738856222238983e+00,-2.695976908597011446e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.225116034370116236e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,-5.126308858250666622e-01,1.000000000000000000e+00,1.000000000000000000e+00
-9.819142630498415292e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,5.444656909411946938e-02,1.000000000000000000e+00,1.000000000000000000e+00
-1.808619137079155448e-01,3.107861666000752976e-01,1.461034881564278742e-01,-4.015843615378558024e-02,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.040554949482133118e-01,-5.188961603721791160e-01,1.461034881564278742e-01,-4.015835402851788277e-02,2.164686990710298908e-01,0.000000000000000000e+00,0.000000000000000000e+00
-4.143439965729792673e-01,1.104850881459847667e+00,1.461034881564278742e-01,3.847716338576235295e-01,9.455682839671264439e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.778233119358007985e-01,1.104850881459847667e+00,1.461034881564278742e-01,-4.015843615378558024e-02,9.455682839671264439e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.608218274099584955e+00,3.107861666000752976e-01,1.461034881564278742e-01,-4.015843615378558024e-02,-1.484763665686528844e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.011803731709172052e-03,1.104850881459847667e+00,1.461034881564278742e-01,1.234631773880441319e+00,-1.484763665686528844e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.323457584281455546e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.207692099428621990e+00,1.160156834934113618e-01,1.461034881564278742e-01,3.443493603627937882e-01,2.164686990710298908e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.821459432387160904e-01,-1.100884437595075260e+00,1.461034881564278742e-01,-2.589738762180343823e+00,1.431634673897857590e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.299867505975842885e+00,-1.277343263119469219e+00,1.461034881564278742e-01,-8.900185761766035153e-01,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
-5.737951751149740209e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-2.482820962143564625e+00,-1.484763665686528844e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.363346821338664583e+00,1.104850881459847667e+00,1.461034881564278742e-01,1.166439871907972270e+00,7.835461539902162098e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.709164254944028682e-01,3.107860186940097358e-01,1.461034881564278742e-01,1.234631631411545527e+00,9.455682839671264439e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.654836201063378809e+00,3.107861666000752976e-01,-3.038805715977164645e+00,-4.015843615378558024e-02,4.595018940363954085e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.084307258890173653e+00,1.104850881459847667e+00,-3.038805715977164645e+00,1.234631773880441319e+00,7.835461539902162098e-01,0.000000000000000000e+00,0.000000000000000000e+00
-4.143439965729792673e-01,1.104850881459847667e+00,1.461034881564278742e-01,3.847716338576235295e-01,9.455682839671264439e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.822258693144878317e-01,3.107861666000752976e-01,1.461034881564278742e-01,-4.015833304424250294e-02,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.698384119108450996e+00,3.107861666000752976e-01,1.461034881564278742e-01,-4.015843615378558024e-02,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.808619137079155448e-01,3.107861666000752976e-01,1.461034881564278742e-01,-4.015834434048568685e-02,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.269141608156986845e-01,-1.277343263119469219e+00,3.331012692290019839e+00,1.115120195993480667e+00,7.025350890017609817e-01,0.000000000000000000e+00,1.000000000000000000e+00
9.979378705132598837e-01,1.104850881459847667e+00,-3.038805715977164645e+00,1.234631794778624281e+00,9.455682839671264439e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.698384119108450996e+00,3.107861666000752976e-01,1.461034881564278742e-01,-1.314948327490539581e+00,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.100442199575970781e+00,1.104850881459847667e+00,1.461034881564278742e-01,1.140868137823455974e+00,9.455682839671264439e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.819142630498415292e-01,-1.277343263119469219e+00,1.461034881564278742e-01,3.847716338576235295e-01,-2.695976908597011446e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.211131073702881589e-02,3.107837844095039936e-01,1.461034881564278742e-01,9.792296123639301353e-01,1.431634673897857590e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.404158730132151200e+00,3.107860673421427578e-01,1.461034881564278742e-01,-2.023076797842593422e+00,1.431634673897857590e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.163221509647272001e-01,3.107861666000752976e-01,1.461034881564278742e-01,4.545360692257083834e-01,2.164686990710298908e-01,0.000000000000000000e+00,1.000000000000000000e+00
9.457365918239163394e-01,3.107861666000752976e-01,3.331012692290019839e+00,-2.454582552449414701e-01,1.431634673897857590e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.647988010594494401e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
-6.364367095421862297e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,-5.126308858250666622e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.186352207292875827e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,4.595018940363954085e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.158678043310951755e-01,1.104850881459847667e+00,1.461034881564278742e-01,-4.015852044236474516e-02,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.493498871961589258e-01,1.104850881459847667e+00,1.461034881564278742e-01,-4.015843615378558024e-02,-7.556640807904322354e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.654836201063378809e+00,5.754744048866657913e-01,-3.038805715977164645e+00,-4.015843615378558024e-02,4.595018940363954085e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.762195781019131768e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015850697544203624e-02,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
-4.826802159481198840e-01,8.401626431732570621e-01,1.461034881564278742e-01,-4.015843615378558024e-02,-1.484763665686528844e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.299867505975842885e+00,-1.277343263119469219e+00,1.461034881564278742e-01,-8.900185761766035153e-01,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.318738455913225582e+00,3.107861666000752976e-01,1.461034881564278742e-01,-4.015838451522338315e-02,7.025350890017609817e-01,0.000000000000000000e+00,1.000000000000000000e+00
-1.551382757842679982e+00,3.107861666000752976e-01,1.461034881564278742e-01,-4.015832992126890794e-02,-7.556640807904322354e-01,1.000000000000000000e+00,1.000000000000000000e+00
-8.746643631971903199e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
-1.026522628475280419e+00,1.104850881459847667e+00,1.461034881564278742e-01,-4.015843615378558024e-02,-7.556640807904322354e-01,0.000000000000000000e+00,0.000000000000000000e+00
-8.746643631971903199e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,-7.556640807904322354e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.056782948308519821e+00,1.104850881459847667e+00,1.461034881564278742e-01,1.234631773880441319e+00,4.595018940363954085e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.329290044873473020e+00,3.107861666000752976e-01,1.461034881564278742e-01,1.590275057815851434e-01,-1.484763665686528844e+00,1.000000000000000000e+00,0.000000000000000000e+00
-5.225430105836186279e-01,1.104850881459847667e+00,1.461034881564278742e-01,1.243304598925252941e-01,4.595018940363954085e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.713707721280349205e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,-5.126308858250666622e-01,0.000000000000000000e+00,1.000000000000000000e+00
-1.406168291670506054e+00,1.104850881459847667e+00,1.461034881564278742e-01,-4.015850768450834191e-02,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.042546235938698773e+00,1.104850881459847667e+00,1.461034881564278742e-01,1.234631773880441319e+00,9.455682839671264439e-01,0.000000000000000000e+00,0.000000000000000000e+00
-6.791468466516491498e-01,1.104850881459847667e+00,3.331012692290019839e+00,5.766756534626314989e-01,1.188601478932491906e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.042546235938698773e+00,1.104850881459847667e+00,1.461034881564278742e-01,1.234631773880441319e+00,9.455682839671264439e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.522909333103037888e+00,1.104850881459847667e+00,1.461034881564278742e-01,-4.650885061651944263e-01,5.405129590248507476e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.394093637075428216e-02,-1.277343263119469219e+00,1.461034881564278742e-01,8.320827908119456107e-02,7.025350890017609817e-01,0.000000000000000000e+00,1.000000000000000000e+00
9.457365918239163394e-01,3.107861666000752976e-01,1.461034881564278742e-01,-1.165310329364449421e-01,-2.695976908597011446e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.254198693170037071e+00,1.104850881459847667e+00,1.461034881564278742e-01,1.234631773880441319e+00,4.595018940363954085e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.049190035044615277e+00,1.104850881459847667e+00,1.461034881564278742e-01,1.234631773880441319e+00,4.595018940363954085e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.122383158432074923e+00,3.107861666000752976e-01,1.461034881564278742e-01,-4.015843615378558024e-02,5.405129590248507476e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.370913292180858667e-01,-1.277343263119469219e+00,-3.038805715977164645e+00,-4.015843615378558024e-02,1.431634673897857590e+00,1.000000000000000000e+00,1.000000000000000000e+00
-8.613767649853574238e-01,1.104850881459847667e+00,1.461034881564278742e-01,-4.015843615378558024e-02,-7.556640807904322354e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.713707721280349205e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.330127825809082287e+00,3.107861666000752976e-01,1.461034881564278742e-01,7.857739884128391861e-01,7.025350890017609817e-01,0.000000000000000000e+00,0.000000000000000000e+00
-4.826802159481198840e-01,1.104850881459847667e+00,-3.038805715977164645e+00,-9.031390366960766192e-02,-1.484763665686528844e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.269141608156986845e-01,-7.479667865462878984e-01,1.461034881564278742e-01,1.234631687832113522e+00,7.025350890017609817e-01,0.000000000000000000e+00,0.000000000000000000e+00
-8.291068836137632792e-01,-1.277343263119469219e+00,1.461034881564278742e-01,1.234631612974389281e+00,-5.126308858250666622e-01,1.000000000000000000e+00,1.000000000000000000e+00
-6.222264395940756143e-02,3.107861666000752976e-01,1.461034881564278742e-01,1.040172152089707813e+00,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.606320045783608874e+00,3.107861666000752976e-01,1.461034881564278742e-01,1.234631773880441319e+00,2.164686990710298908e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.203057861861060340e+00,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015839591081676874e-02,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
3.266232941768851695e-03,3.107861666000752976e-01,1.461034881564278742e-01,1.234631910869780969e+00,-2.695976908597011446e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.916370848185967146e-01,-1.277343263119469219e+00,1.461034881564278742e-01,1.085966290391310762e+00,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.487680776035100960e+00,1.104850881459847667e+00,1.461034881564278742e-01,-1.739878716199421582e+00,4.595018940363954085e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.787724260937888943e-01,3.107861666000752976e-01,1.461034881564278742e-01,1.234631343638910250e+00,-1.484763665686528844e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.238063752484239943e+00,1.104850881459847667e+00,1.461034881564278742e-01,-2.520939477018082187e+00,-1.484763665686528844e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.306620985184860251e-01,1.104850881459847667e+00,1.461034881564278742e-01,-4.015829790717858477e-02,-7.556640807904322354e-01,1.000000000000000000e+00,0.000000000000000000e+00
-1.713707721280349205e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.257046035644001414e+00,1.104850881459847667e+00,-3.038805715977164645e+00,7.530443865036353657e-01,4.595018940363954085e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.202946528638681789e+00,2.999087749958800342e-01,1.461034881564278742e-01,4.875656331865965143e-01,1.431634673897857590e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.672869370065152017e+00,-1.277343263119469219e+00,1.461034881564278742e-01,3.524576003856034756e-01,7.025350890017609817e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.220886639499865201e-01,3.107861666000752976e-01,1.461034881564278742e-01,4.079540869129615333e-01,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.593981561729764129e+00,3.107861666000752976e-01,1.461034881564278742e-01,-4.015843615378558024e-02,-1.055881537225289657e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.143439965729792673e-01,3.107861666000752976e-01,1.461034881564278742e-01,3.847716338576235295e-01,9.455682839671264439e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.352963360860476749e-01,1.104850881459847667e+00,1.461034881564278742e-01,1.957342521290389714e-01,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.770573590375224438e-01,1.104850881459847667e+00,3.331012692290019839e+00,6.453420703173660122e-01,4.595018940363954085e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.738358246966328569e+00,1.104850881459847667e+00,1.461034881564278742e-01,-4.015853113305394018e-02,9.455682839671264439e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.252790198352039752e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,1.431634673897857590e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.081571249638588306e+00,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.709773489004307923e+00,-1.277343213490435003e+00,1.461034881564278742e-01,-2.589738856222238983e+00,1.431634673897857590e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.900818699138738577e-01,-1.277343263119469219e+00,1.461034881564278742e-01,1.234631754758618305e+00,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
-6.326402529102339578e-01,1.104850881459847667e+00,1.461034881564278742e-01,2.932482280482165415e-01,9.455682839671264439e-01,0.000000000000000000e+00,0.000000000000000000e+00
-2.767224436647099939e-01,1.104850881459847667e+00,1.461034881564278742e-01,-4.015846802345260369e-02,4.595018940363954085e-01,0.000000000000000000e+00,0.000000000000000000e+00
-4.826802159481198840e-01,3.107861666000752976e-01,1.461034881564278742e-01,-4.015836605891642125e-02,-1.484763665686528844e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.394093637075428216e-02,3.107861666000752976e-01,1.461034881564278742e-01,-1.564328674162634644e-02,7.025350890017609817e-01,0.000000000000000000e+00,1.000000000000000000e+00
-1.003743888683567009e+00,-1.277343263119469219e+00,1.461034881564278742e-01,-5.337571071443613091e-01,-1.484763665686528844e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.149186901731071075e-01,4.609792831348476227e-02,1.461034881564278742e-01,-4.015832992127797013e-02,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
-9.259165277285457130e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.305450857701392575e+00,1.104850881459847667e+00,3.331012692290019839e+00,-4.015859555664717806e-02,-1.484763665686528844e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.746643631971903199e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
-5.196956681096543962e-01,-7.479667865462878984e-01,1.461034881564278742e-01,-2.589738856222238983e+00,-1.484763665686528844e+00,0.000000000000000000e+00,0.000000000000000000e+00
-5.196956681096543962e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-2.589738856222238983e+00,-1.484763665686528844e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.793785268405237110e-01,3.107861666000752976e-01,1.461034881564278742e-01,6.090404575706062085e-01,1.431634673897857590e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.618715325097134672e-01,3.107861666000752976e-01,-3.038805715977164645e+00,-2.589738856222238983e+00,4.595018940363954085e-01,0.000000000000000000e+00,0.000000000000000000e+00
-8.746643631971903199e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
3.297615032896628606e-01,-7.479667865462878984e-01,1.461034881564278742e-01,9.547999636893250708e-01,7.025350890017609817e-01,0.000000000000000000e+00,0.000000000000000000e+00
-3.820741152013851227e-01,1.104850881459847667e+00,-3.038805715977164645e+00,-2.589738856222238983e+00,6.215240240133056426e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.484833433561136617e+00,-1.277343263119469219e+00,1.461034881564278742e-01,3.298212091019646075e-01,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.432632154871793073e+00,3.107861666000752976e-01,1.461034881564278742e-01,2.524967704063897367e-01,1.188601478932491906e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.267486291381870078e+00,3.107861666000752976e-01,1.461034881564278742e-01,-4.015865374264435128e-02,9.455682839671264439e-01,1.000000000000000000e+00,1.000000000000000000e+00
-1.738358246966328569e+00,1.104850881459847667e+00,1.461034881564278742e-01,-4.015853113305394018e-02,9.455682839671264439e-01,0.000000000000000000e+00,0.000000000000000000e+00
-3.004502976144116100e-01,1.104850881459847667e+00,3.331012692290019839e+00,1.234631773880441319e+00,4.595018940363954085e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.414598985870019865e+00,1.104850881459847667e+00,1.461034881564278742e-01,-5.176311987736227360e-01,-1.484763665686528844e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.299867505975842885e+00,-1.277343263119469219e+00,1.461034881564278742e-01,-8.900185761766035153e-01,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
-7.455848377108136305e-01,5.754744048866657913e-01,1.461034881564278742e-01,-4.015843615378558024e-02,6.215240240133056426e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.040648007622722693e+00,1.104850881459847667e+00,1.461034881564278742e-01,-1.739878716199421582e+00,7.835461539902162098e-01,0.000000000000000000e+00,0.000000000000000000e+00
-6.791732890733594152e-02,3.107861666000752976e-01,1.461034881564278742e-01,-4.015843615378558024e-02,-7.556640807904322354e-01,1.000000000000000000e+00,1.000000000000000000e+00
-1.427048803146243605e+00,3.107861666000752976e-01,1.461034881564278742e-01,-2.362800069282818827e-01,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
-1.080622135480600265e+00,-1.277343263119469219e+00,1.738558090223224051e+00,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
-9.354341117301366582e-02,-1.277343263119469219e+00,1.461034881564278742e-01,-8.900185761766035153e-01,7.025350890017609817e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.378532647866473448e+00,1.104850881459847667e+00,1.461034881564278742e-01,9.171644090850285258e-02,4.595018940363954085e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.480577596269176066e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.660530886011307272e+00,3.107861666000752976e-01,1.461034881564278742e-01,-4.015832510924230436e-02,4.595018940363954085e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.363346821338664583e+00,1.104850881459847667e+00,1.461034881564278742e-01,1.234631929616935242e+00,9.455682839671264439e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.186352207292875827e-01,-1.277343263119469219e+00,1.461034881564278742e-01,3.847716338576235295e-01,1.431634673897857590e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.230582172442714173e+00,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,9.455682839671264439e-01,1.000000000000000000e+00,1.000000000000000000e+00
-8.746643631971903199e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
-7.209078696031239186e-01,1.217041990851717603e+00,1.461034881564278742e-01,-4.015843615378558024e-02,2.164686990710298908e-01,0.000000000000000000e+00,0.000000000000000000e+00
-2.529945897150084333e-01,1.104850881459847667e+00,1.461034881564278742e-01,-4.015848063188261208e-02,9.455682839671264439e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.628206466677015074e-01,1.104850881459847667e+00,1.461034881564278742e-01,1.234626993423129093e+00,9.455682839671264439e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.648302082060563611e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
-1.635853917903617560e+00,1.104850881459847667e+00,1.461034881564278742e-01,1.234631773880441319e+00,4.595018940363954085e-01,0.000000000000000000e+00,0.000000000000000000e+00
